request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_29,1189.55,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 1,189.55 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2667751.32,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Pay IDR 18,164,000 in full on 15 September 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,12901.37,affordable_later,wait,2025-02-15:40018,2025-02-15,none,"Pay ZAR 40,018 in full on 15 February 2025. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,30750.13,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,24209.84,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,566.47,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 15 September 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,169.21,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.3 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,53813.48,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Pay INR 208,600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,349.92,affordable_later,wait,2024-06-15:1290.30,2024-06-15,none,"Pay EUR 1,290.3 in full on 15 June 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,8357708.87,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Pay IDR 38,760,000 in full on 15 November 2025. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8395893.72,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,29073.35,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Pay INR 95,800 in full on 15 February 2025. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,3382038.04,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,35500.18,affordable_with_plan,partial_payment,2024-12-03:35500.18|2024-12-15:13949.82,2024-12-15,none,"Pay INR 35,500.18 today and the remaining INR 13,949.82 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,22230892.07,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38,114,000 request. Although IDR 22,230,892.07 is available today, the full amount cannot be completed safely within 90 days."
request_48,26720.26,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 45,700 request. Although INR 26,720.26 is available today, the full amount cannot be completed safely within 90 days."
request_49,12312899.14,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4636:696350,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,18531.21,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,475.45,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,2224.84,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 2,224.84 is available today, the full amount cannot be completed safely within 90 days."
request_55,114261.55,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,reduce_to:event_5167:2750|reduce_to:event_5103:2536,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,610.57,affordable_with_plan,partial_payment,2025-02-03:610.57|2025-02-15:270.99,2025-02-15,none,"Pay USD 610.57 today and the remaining USD 270.99 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,12560.64,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,15330479.92,affordable_with_plan,full_payment,2024-12-07:16226000,,stop:event_5358,"Stop recurring flexible subscriptions, then pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,117.04,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,Pay USD 199.89 in full on 15 February 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,36169.3,affordable_with_plan,partial_payment,2026-07-07:36169.30|2026-09-15:307730.70,2026-09-15,none,"Pay INR 36,169.3 today and the remaining INR 307,730.7 on 15 September 2026. This completes the full request and keeps the INR 153,500 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5764.09,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,764.09 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,302.33,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Pay USD 2,094 in full on 15 September 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1328.52,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-04-23,reduce_to:event_6331:24.80,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 700 available over the next 90 days.
request_70,49678.51,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,195825.13,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 195,825.13 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,11793.61,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 28,270 request. Although ZAR 11,793.61 is available today, the full amount cannot be completed safely within 90 days."
request_76,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,60435.04,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Stop recurring flexible subscriptions, then pay INR 60,700 today. This leaves at least INR 82,200 available."
request_78,45882.71,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 50,200 request. Although INR 45,882.71 is available today, the full amount cannot be completed safely within 90 days."
request_79,296.27,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.6 request. Although EUR 296.27 is available today, the full amount cannot be completed safely within 90 days."
request_80,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,100 minimum protected."
request_83,6579.91,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 6,579.91 is available today, the full amount cannot be completed safely within 90 days."
request_84,21790.29,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,366611.1,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 366,611.1 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,17689.83,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 17,689.83 is available today, the full amount cannot be completed safely within 90 days."
request_88,10702.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9253664.03,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
